,quantiles,ALE
0,175.87400000000002,-0.36736293650793683
1,177.601,-0.3654740476190476
2,180.82299999999998,-0.37033119047619034
3,184.755,-0.3387015608465602
4,190.291,-0.33981267195767173
5,196.388,-0.31870156084656
6,203.896,-0.2832200793650788
7,212.082,-0.2722200793650795
8,221.56725,-0.2549200793650799
9,231.7895,-0.25414230158730167
10,243.138,-0.25069785714285736
11,253.403,-0.24692007936507954
12,266.111,-0.2395497089947098
13,277.014,-0.23799415343915317
14,289.905,-0.23840156084656017
15,301.952,-0.2389571164021163
16,314.8932500000001,-0.2373237830687832
17,327.60075,-0.23443489417989408
18,341.031,-0.2288793386243388
19,351.94199999999995,-0.19321267195767308
20,364.461,-0.16895341269841332
21,375.64099999999996,0.06445399470899371
22,386.57,0.3292317724867714
23,397.759,0.3308614021164006
24,407.855375,0.3305614021164007
25,417.8254999999999,0.3331169576719565
26,427.51800000000003,0.33356140211640173
27,435.767,0.3263021428571419
28,443.64300000000003,0.3180799206349193
29,451.144,0.31552436507936465
30,457.401,0.31452436507936465
31,463.884,0.3098206613756608
32,469.074875,0.2992206613756616
33,473.85975,0.3039614021164031
34,478.094,0.30685029100529193
35,481.084,0.3083317724867738
36,483.73199999999997,0.29833177248677345
37,485.452,0.28866510582010696
38,486.599,0.28629473544973727
39,486.977,0.28251695767196006
