,quantiles,ALE
0,6.4,-11.04471647088238
1,6.5,-10.985352834518741
2,6.6,-10.95693616785207
3,6.7,-10.875788019703927
4,6.8,-10.798704686370597
5,6.9,-10.763478879918983
6,7.1,-10.66575665769676
7,7.3,-10.522236657696757
8,7.6,-10.294003324363421
9,7.7749999999999995,-10.217074752934849
10,8.312500000000002,-9.666896181506276
11,9.2,-9.144016181506274
12,11.95,-6.812257560816613
13,17.125,-4.000257560816618
14,19.7,-1.5406175608166173
15,21.4,-0.1888589401269627
16,22.7,1.4599929117248873
17,23.4,2.270569834801803
18,23.712500000000002,2.442569834801807
19,24.1,2.833342562074529
20,24.3,3.003615289347257
21,24.9,3.621777451509425
22,25.3,3.9665274515094193
23,25.7,4.66901021013012
24,26.0,4.692713913833819
25,26.3,5.03025558050048
26,26.6,5.188965257919843
27,26.9,5.540520813475396
28,27.2,5.648979146808728
29,27.6,5.986130661960239
30,27.9,6.729246046575621
31,28.2,6.8520860465756215
32,28.7,7.4459008613904345
33,29.1,7.77738234287191
34,29.7,8.191826787316355
35,30.2,8.344149367961517
36,30.8,8.916816034628184
37,31.424999999999997,9.258216034628184
38,33.1625,9.303178997591147
39,39.2,9.303178997591147
