,quantiles,ALE
0,10.0,0.3573187962963039
1,19.0,0.3516891666666747
2,28.0,0.3520225000000083
3,37.0,0.35235583333334153
4,46.0,0.3540595370370452
5,55.25000000000003,0.3686262037037111
6,64.625,0.3751817592592668
7,74.0,0.3816262037037112
8,83.0,0.3958484259259335
9,92.0,0.42458916666667446
10,101.0,0.44010768518519305
11,110.0,0.4020706481481549
12,119.0,0.015552129629625322
13,128.25,0.004085462962958475
14,137.625,-0.0033589814814858343
15,147.0,-0.0027293518518564652
16,156.0,-0.028877500000004996
17,165.0,-0.050766388888894065
18,174.0,-0.07821083333333706
19,183.0,-0.09561824074074271
20,192.0,-0.10498861111111307
21,201.25,-0.1402552777777813
22,210.6250000000001,-0.15836638888889215
23,220.0,-0.1551071296296322
24,229.0,-0.15403305555555807
25,238.0,-0.14992194444444745
26,247.0,-0.15140342592592887
27,256.0,-0.15073675925926283
28,265.0,-0.15510712962963297
29,274.25,-0.15394046296296543
30,283.625,-0.15964416666666786
31,293.0,-0.1649404629629651
32,302.0,-0.1743108333333367
33,311.0,-0.18149601851852254
34,320.0,-0.20997750000000565
35,329.0,-0.27790342592592804
36,338.0,-0.3722367592592613
37,347.25,-0.4148700925925943
38,356.625,-0.44231453703704043
39,366.0,-0.4440182407407442
