,quantiles,ALE
0,6.4,0.0555939101741062
1,6.5,0.056135576840772895
2,6.6,0.05676057684077296
3,6.7,0.06635316943336547
4,6.8,0.07231150276669854
5,6.9,0.07317816943336519
6,7.1,0.07289245514765076
7,7.3,0.07277245514765104
8,7.6,0.07890578848098431
9,7.7749999999999995,0.08265578848098437
10,8.312500000000002,0.08919150276669788
11,9.2,0.09951150276669782
12,11.95,0.13002874414600785
13,17.125,0.11492160128886474
14,19.7,0.05768160128886534
15,21.4,0.05009539439231372
16,22.7,-0.013608309311390863
17,23.4,-0.008185232388313868
18,23.712500000000002,-0.011985232388314483
19,24.1,-0.029667050570134412
20,24.3,-0.02993977784286138
21,24.9,-0.03237221027529409
22,25.3,-0.0352472102752945
23,25.7,-0.04145410682701789
24,26.0,-0.037491143864054166
25,26.3,-0.04032447719738859
26,26.6,-0.054905122358678046
27,26.9,-0.05694215939571587
28,27.2,-0.062442159395715485
29,27.6,-0.06950276545632189
30,27.9,-0.06977199622555286
31,28.2,-0.07249199622555291
32,28.7,-0.06901051474407073
33,29.1,-0.07093644066999664
34,29.7,-0.07497347770703164
35,30.2,-0.07674767125542056
36,30.8,-0.07711804162578981
37,31.424999999999997,-0.061118041625790154
38,33.1625,-0.06637730088504913
39,39.2,-0.06637730088504913
