,quantiles,ALE
0,-21.470125,-0.01073392857142847
1,-19.765500000000003,-0.010215410052910042
2,-18.724249999999998,-0.009786838624338693
3,-17.81,-0.008712764550264556
4,-17.224249999999998,-0.0009349867724869759
5,-16.325,0.003509457671957341
6,-15.729000000000001,0.0063666005291004545
7,-15.065999999999999,0.007699933862433245
8,-14.184249999999999,0.011235648148147443
9,-13.313250000000002,0.026272685185185295
10,-12.057875,0.03023697089947068
11,-10.927999999999997,0.034607341269841524
12,-9.801375,-0.01642969576719555
13,-8.70775,-0.01021541005290922
14,-8.077875,-0.006215410052910023
15,-7.136,-0.0038450396825399132
16,-6.2052499999999995,0.004440674603173586
17,-5.4559999999999995,-0.007300066137567753
18,-4.81,-0.004550066137567438
19,-3.7634999999999996,-0.0024389550264560488
20,-2.938,-0.010253769841270941
21,-2.3005000000000004,-0.00953948412698537
22,-1.7594999999999996,-0.009872817460319636
23,-1.1999999999999937,-0.012372817460319267
24,-0.5745,-0.014372817460319605
25,-0.0325,-0.014520965608467539
26,0.566125,-0.02069953703703878
27,0.899,-0.020958796296297037
28,1.5653750000000013,-0.025255092592593453
29,1.9612499999999997,-0.02650509259259371
30,2.398625,-0.022764351851852348
31,2.858,-0.01191249999999947
32,3.475,-0.009208796296295094
33,4.127500000000005,-0.00010165343915100392
34,4.73525,0.0030054894179922242
35,5.4645,-0.009735251322748297
36,6.175375,-0.009846362433859149
37,7.170999999999999,-0.005346362433859613
38,8.7675,0.027690674603177007
39,10.603,0.16957956349206615
