,quantiles,ALE
0,0.17253225,0.0523125330687831
1,0.25654275000000004,0.05231253306878343
2,0.30511675000000005,0.049241104497354596
3,0.34666199999999997,0.04668554894179908
4,0.37175875,0.04450036375661385
5,0.39657850000000006,0.044143220899471314
6,0.414195,0.04129136904761933
7,0.429543,0.03969877645502706
8,0.442471375,0.04209163359788415
9,0.46050674999999996,0.04801755952381031
10,0.47760025,0.047624702380953225
11,0.5003044999999999,0.0468098875661384
12,0.515146,0.056180257936508576
13,0.5388400000000001,0.0547159722222232
14,0.564807375,0.053678935185185656
15,0.589637,0.05549375000000097
16,0.6254557500000001,0.051493750000000935
17,0.65051475,0.05093819444444592
18,0.69838925,0.04550962301587386
19,0.7515704999999999,0.043546660052910996
20,0.837438125,0.03369480820105884
21,0.98329925,-0.017912334656083898
22,1.1065475,-0.022616038359788218
23,1.3212200000000014,-0.02450889550264501
24,1.54058875,-0.025545932539682792
25,1.7754725,-0.03047185846560921
26,2.1417312500000003,-0.03322185846560877
27,2.8787450000000003,-0.03162926587301633
28,3.376716250000002,-0.054221858465609826
29,3.7860125000000004,-0.05897185846561005
30,4.315424999999999,-0.060971858465610124
31,4.73336,-0.06430519179894359
32,5.2866525,-0.0676266203703719
33,5.7934525000000034,-0.0700340277777787
34,6.51050375,-0.07246259920635056
35,7.08279,-0.07016630291005357
36,7.50668625,-0.0709070436507939
37,8.0599025,-0.07872847222222237
38,8.88762,-0.07154328703703788
39,10.5873,-0.07413587962963022
