,quantiles,ALE
0,0.0,-0.041848025680047043
1,0.0,-0.041848025680047043
2,0.0,-0.041848025680047043
3,0.0,-0.041848025680047043
4,0.0,-0.041848025680047043
5,0.0,-0.041848025680047043
6,0.0,-0.041848025680047043
7,0.0,-0.041848025680047043
8,0.0,-0.041848025680047043
9,0.0,-0.041848025680047043
10,0.0,-0.041848025680047043
11,0.0,-0.041848025680047043
12,0.0,-0.041848025680047043
13,0.0,-0.041848025680047043
14,0.0,-0.041848025680047043
15,0.0,-0.041848025680047043
16,0.0,-0.041848025680047043
17,0.0,-0.041848025680047043
18,0.0,-0.041848025680047043
19,0.0,-0.041848025680047043
20,0.0,-0.041848025680047043
21,0.0,-0.041848025680047043
22,0.1,-0.04074446580949714
23,0.1,-0.04074446580949714
24,0.1,-0.04074446580949714
25,0.2,-0.04029113247616358
26,0.3,-0.03667574786077919
27,0.5,-0.03693215811718878
28,0.7,-0.03630715811718868
29,0.925,-0.029588408117188467
30,1.3625,-0.027514334043114326
31,1.7,-0.026514334043114606
32,2.1,-0.02568100070978055
33,2.8750000000000115,-0.02564975070978051
34,3.7,-0.026457443017472437
35,4.6,-0.022495904555933234
36,6.2,-0.018567333127361318
37,8.2,0.019877111317082613
38,12.025,0.24434377798375218
39,31.1,1.1313437779837572
